H,Date,Hour Ending,Location,LMP,Energy,Congestion,Loss,_datetime
D,07/08/2026,16.0,LD.TORRNGTN13.2,170.13,165.03,4.86,0.24,2026-07-08 15:00:00
D,07/08/2026,16.0,UN.BERLN_NH22  BERP,170.63,165.03,4.86,0.74,2026-07-08 15:00:00
D,07/08/2026,16.0,UN.KENDALL 13.8KND3,171.14,165.03,4.86,1.25,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.GOLDN_RK23,169.14,165.03,4.86,-0.75,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.BEVERLY 13.2,170.41,165.03,4.86,0.52,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.PORTSMTH34.5,167.92,165.03,4.86,-1.97,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.BURTT_RD13.2,170.33,165.03,4.86,0.44,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.TUNNEL  69,167.8,165.03,4.86,-2.09,2026-07-08 15:00:00
D,07/08/2026,16.0,DR.RI_Rhode_Island,168.41,165.03,4.86,-1.48,2026-07-08 15:00:00
D,07/08/2026,16.0,DR.MA_Western,170.14,165.03,4.86,0.25,2026-07-08 15:00:00
D,07/08/2026,16.0,DR.MA_Springfield,170.26,165.03,4.86,0.37,2026-07-08 15:00:00
D,07/08/2026,16.0,DR.MA_Central,170.54,165.03,4.86,0.65,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.ROLF_AVE13.8,169.99,165.03,4.86,0.1,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.GREATBAY34.5,169.34,165.03,4.86,-0.55,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.DEXTR_RI13.8,167.14,165.03,4.86,-2.75,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.BRENTWOD34.5,168.72,165.03,4.86,-1.17,2026-07-08 15:00:00
D,07/08/2026,16.0,DR.VT_Vermont,171.78,165.03,4.86,1.89,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.E_CAMBRG13.8,171.14,165.03,4.86,1.25,2026-07-08 15:00:00
D,07/08/2026,16.0,UN.JOHNSTON23  JLF2,167.18,165.03,4.86,-2.71,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.SHUNOCK 13.8,168.51,165.03,4.86,-1.38,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.KILVERT 12.5,168.53,165.03,4.86,-1.36,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.BEDFORD 34.5,167.53,165.03,4.86,-2.36,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.COLBURN 13.8,171.72,165.03,4.86,1.83,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.FRNKLNSQ12.5,167.79,165.03,4.86,-2.1,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.JOHNSTON12.5,167.18,165.03,4.86,-2.71,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.BELL_RK 34.5,168.84,165.03,4.86,-1.05,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.WESTFORD13.2,169.61,165.03,4.86,-0.28,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.RAYNHAM 13.8,171.17,165.03,4.86,1.28,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.OAK_ST  23,171.46,165.03,4.86,1.57,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.ELLIS_AV14.4,172.59,165.03,4.86,2.7,2026-07-08 15:00:00
D,07/08/2026,16.0,LD.TAFTS_CR34.5,175.74,165.03,4.86,5.85,2026-07-08 15:00:00
D,07/08/2026,16.0,DR.VT_Northwest_Vermont,175.12,165.03,4.86,5.23,2026-07-08 15:00:00
D,07/08/2026,16.0,HC.WACHUS  115,169.47,165.03,4.86,-0.42,2026-07-08 15:00:00
D,07/08/2026,16.0,DR.MA_Lower_SEMA,171.4,165.03,4.86,1.51,2026-07-08 15:00:00
D,07/08/2026,16.0,HC.VERNONHL13.8,170.41,165.03,4.86,0.52,2026-07-08 15:00:00
D,07/08/2026,16.0,HC.THORNDIK13.2,169.24,165.03,4.86,-0.65,2026-07-08 15:00:00
D,07/08/2026,16.0,HC.STERLING13.8,169.89,165.03,4.86,0,2026-07-08 15:00:00
D,07/08/2026,16.0,HC.PAXTON  13.8,169.96,165.03,4.86,0.07,2026-07-08 15:00:00
D,07/08/2026,16.0,HC.PALMER  13.2,168.94,165.03,4.86,-0.95,2026-07-08 15:00:00
D,07/08/2026,16.0,HC.N_OXFORD13.2,169.05,165.03,4.86,-0.84,2026-07-08 15:00:00
D,07/08/2026,16.0,HC.NASHUA  13.8,170.29,165.03,4.86,0.4,2026-07-08 15:00:00
