Time Stamp,Time Zone,Name,PTID,Load,Weather_Time,Real_Temperature_F
2026-06-01 00:00:00,EDT,HUD VL,61758,884.4418,2026-06-01 00:00:00,59.2
2026-06-01 00:05:00,EDT,HUD VL,61758,892.0352,2026-06-01 00:00:00,59.2
2026-06-01 00:10:00,EDT,HUD VL,61758,901.957,2026-06-01 00:00:00,59.2
2026-06-01 00:15:00,EDT,HUD VL,61758,900.5571,2026-06-01 00:00:00,59.2
2026-06-01 00:20:00,EDT,HUD VL,61758,868.9111,2026-06-01 00:00:00,59.2
2026-06-01 00:25:00,EDT,HUD VL,61758,864.2564,2026-06-01 00:00:00,59.2
2026-06-01 00:30:00,EDT,HUD VL,61758,864.8903,2026-06-01 00:00:00,59.2
2026-06-01 00:35:00,EDT,HUD VL,61758,844.3051,2026-06-01 01:00:00,57.9
2026-06-01 00:40:00,EDT,HUD VL,61758,841.9763,2026-06-01 01:00:00,57.9
2026-06-01 00:45:00,EDT,HUD VL,61758,869.9101,2026-06-01 01:00:00,57.9
2026-06-01 00:50:00,EDT,HUD VL,61758,849.3146,2026-06-01 01:00:00,57.9
2026-06-01 00:55:00,EDT,HUD VL,61758,856.3522,2026-06-01 01:00:00,57.9
2026-06-01 01:00:00,EDT,HUD VL,61758,858.2687,2026-06-01 01:00:00,57.9
2026-06-01 01:05:00,EDT,HUD VL,61758,835.7292,2026-06-01 01:00:00,57.9
2026-06-01 01:10:00,EDT,HUD VL,61758,822.5139,2026-06-01 01:00:00,57.9
2026-06-01 01:15:00,EDT,HUD VL,61758,838.8998,2026-06-01 01:00:00,57.9
2026-06-01 01:20:00,EDT,HUD VL,61758,828.6019,2026-06-01 01:00:00,57.9
2026-06-01 01:25:00,EDT,HUD VL,61758,858.943,2026-06-01 01:00:00,57.9
2026-06-01 01:30:00,EDT,HUD VL,61758,813.3957,2026-06-01 01:00:00,57.9
2026-06-01 01:35:00,EDT,HUD VL,61758,829.8992,2026-06-01 02:00:00,56.8
2026-06-01 01:40:00,EDT,HUD VL,61758,813.3706,2026-06-01 02:00:00,56.8
2026-06-01 01:45:00,EDT,HUD VL,61758,809.3547,2026-06-01 02:00:00,56.8
2026-06-01 01:50:00,EDT,HUD VL,61758,801.7087,2026-06-01 02:00:00,56.8
2026-06-01 01:55:00,EDT,HUD VL,61758,795.6963,2026-06-01 02:00:00,56.8
2026-06-01 02:00:00,EDT,HUD VL,61758,801.0153,2026-06-01 02:00:00,56.8
2026-06-01 02:05:00,EDT,HUD VL,61758,818.5519,2026-06-01 02:00:00,56.8
2026-06-01 02:10:00,EDT,HUD VL,61758,802.8633,2026-06-01 02:00:00,56.8
2026-06-01 02:15:00,EDT,HUD VL,61758,790.5972,2026-06-01 02:00:00,56.8
2026-06-01 02:20:00,EDT,HUD VL,61758,800.7113,2026-06-01 02:00:00,56.8
2026-06-01 02:25:00,EDT,HUD VL,61758,789.0778,2026-06-01 02:00:00,56.8
2026-06-01 02:30:00,EDT,HUD VL,61758,806.5184,2026-06-01 02:00:00,56.8
2026-06-01 02:35:00,EDT,HUD VL,61758,794.2096,2026-06-01 03:00:00,56.3
2026-06-01 02:40:00,EDT,HUD VL,61758,790.8479,2026-06-01 03:00:00,56.3
2026-06-01 02:45:00,EDT,HUD VL,61758,795.3893,2026-06-01 03:00:00,56.3
2026-06-01 02:50:00,EDT,HUD VL,61758,787.9601,2026-06-01 03:00:00,56.3
2026-06-01 02:55:00,EDT,HUD VL,61758,773.6184,2026-06-01 03:00:00,56.3
2026-06-01 03:00:00,EDT,HUD VL,61758,775.356,2026-06-01 03:00:00,56.3
2026-06-01 03:05:00,EDT,HUD VL,61758,795.9793,2026-06-01 03:00:00,56.3
2026-06-01 03:10:00,EDT,HUD VL,61758,792.228,2026-06-01 03:00:00,56.3
2026-06-01 03:15:00,EDT,HUD VL,61758,775.6047,2026-06-01 03:00:00,56.3
2026-06-01 03:20:00,EDT,HUD VL,61758,791.2888,2026-06-01 03:00:00,56.3
2026-06-01 03:25:00,EDT,HUD VL,61758,773.593,2026-06-01 03:00:00,56.3
2026-06-01 03:30:00,EDT,HUD VL,61758,799.1924,2026-06-01 03:00:00,56.3
2026-06-01 03:35:00,EDT,HUD VL,61758,781.6309,2026-06-01 04:00:00,56.1
2026-06-01 03:40:00,EDT,HUD VL,61758,794.0189,2026-06-01 04:00:00,56.1
2026-06-01 03:45:00,EDT,HUD VL,61758,789.3729,2026-06-01 04:00:00,56.1
2026-06-01 03:50:00,EDT,HUD VL,61758,795.8687,2026-06-01 04:00:00,56.1
2026-06-01 03:55:00,EDT,HUD VL,61758,774.2816,2026-06-01 04:00:00,56.1
2026-06-01 04:00:00,EDT,HUD VL,61758,791.2379,2026-06-01 04:00:00,56.1
2026-06-01 04:05:00,EDT,HUD VL,61758,769.5312,2026-06-01 04:00:00,56.1
