Time Stamp,Time Zone,Name,PTID,Load,Weather_Time,Real_Temperature_F
2026-06-01 00:00:00,EDT,NORTH,61755,496.8749,2026-06-01 00:00:00,47.2
2026-06-01 00:05:00,EDT,NORTH,61755,494.0653,2026-06-01 00:00:00,47.2
2026-06-01 00:10:00,EDT,NORTH,61755,503.7495,2026-06-01 00:00:00,47.2
2026-06-01 00:15:00,EDT,NORTH,61755,488.3692,2026-06-01 00:00:00,47.2
2026-06-01 00:20:00,EDT,NORTH,61755,496.5154,2026-06-01 00:00:00,47.2
2026-06-01 00:25:00,EDT,NORTH,61755,491.6733,2026-06-01 00:00:00,47.2
2026-06-01 00:30:00,EDT,NORTH,61755,494.0449,2026-06-01 00:00:00,47.2
2026-06-01 00:35:00,EDT,NORTH,61755,479.6808,2026-06-01 01:00:00,46.8
2026-06-01 00:40:00,EDT,NORTH,61755,497.4081,2026-06-01 01:00:00,46.8
2026-06-01 00:45:00,EDT,NORTH,61755,498.4593,2026-06-01 01:00:00,46.8
2026-06-01 00:50:00,EDT,NORTH,61755,483.3751,2026-06-01 01:00:00,46.8
2026-06-01 00:55:00,EDT,NORTH,61755,486.5905,2026-06-01 01:00:00,46.8
2026-06-01 01:00:00,EDT,NORTH,61755,478.6139,2026-06-01 01:00:00,46.8
2026-06-01 01:05:00,EDT,NORTH,61755,488.105,2026-06-01 01:00:00,46.8
2026-06-01 01:10:00,EDT,NORTH,61755,519.3248,2026-06-01 01:00:00,46.8
2026-06-01 01:15:00,EDT,NORTH,61755,500.0049,2026-06-01 01:00:00,46.8
2026-06-01 01:20:00,EDT,NORTH,61755,494.9068,2026-06-01 01:00:00,46.8
2026-06-01 01:25:00,EDT,NORTH,61755,518.4695,2026-06-01 01:00:00,46.8
2026-06-01 01:30:00,EDT,NORTH,61755,517.1921,2026-06-01 01:00:00,46.8
2026-06-01 01:35:00,EDT,NORTH,61755,513.449,2026-06-01 02:00:00,44.7
2026-06-01 01:40:00,EDT,NORTH,61755,512.6895,2026-06-01 02:00:00,44.7
2026-06-01 01:45:00,EDT,NORTH,61755,529.2205,2026-06-01 02:00:00,44.7
2026-06-01 01:50:00,EDT,NORTH,61755,495.4076,2026-06-01 02:00:00,44.7
2026-06-01 01:55:00,EDT,NORTH,61755,518.5454,2026-06-01 02:00:00,44.7
2026-06-01 02:00:00,EDT,NORTH,61755,512.1314,2026-06-01 02:00:00,44.7
2026-06-01 02:05:00,EDT,NORTH,61755,496.1799,2026-06-01 02:00:00,44.7
2026-06-01 02:10:00,EDT,NORTH,61755,488.1953,2026-06-01 02:00:00,44.7
2026-06-01 02:15:00,EDT,NORTH,61755,493.7843,2026-06-01 02:00:00,44.7
2026-06-01 02:20:00,EDT,NORTH,61755,485.1841,2026-06-01 02:00:00,44.7
2026-06-01 02:25:00,EDT,NORTH,61755,503.3781,2026-06-01 02:00:00,44.7
2026-06-01 02:30:00,EDT,NORTH,61755,492.0056,2026-06-01 02:00:00,44.7
2026-06-01 02:35:00,EDT,NORTH,61755,487.1918,2026-06-01 03:00:00,45.5
2026-06-01 02:40:00,EDT,NORTH,61755,494.7717,2026-06-01 03:00:00,45.5
2026-06-01 02:45:00,EDT,NORTH,61755,488.9783,2026-06-01 03:00:00,45.5
2026-06-01 02:50:00,EDT,NORTH,61755,464.132,2026-06-01 03:00:00,45.5
2026-06-01 02:55:00,EDT,NORTH,61755,492.8756,2026-06-01 03:00:00,45.5
2026-06-01 03:00:00,EDT,NORTH,61755,484.6544,2026-06-01 03:00:00,45.5
2026-06-01 03:05:00,EDT,NORTH,61755,507.8443,2026-06-01 03:00:00,45.5
2026-06-01 03:10:00,EDT,NORTH,61755,506.8738,2026-06-01 03:00:00,45.5
2026-06-01 03:15:00,EDT,NORTH,61755,502.0839,2026-06-01 03:00:00,45.5
2026-06-01 03:20:00,EDT,NORTH,61755,497.6548,2026-06-01 03:00:00,45.5
2026-06-01 03:25:00,EDT,NORTH,61755,491.5526,2026-06-01 03:00:00,45.5
2026-06-01 03:30:00,EDT,NORTH,61755,491.3289,2026-06-01 03:00:00,45.5
2026-06-01 03:35:00,EDT,NORTH,61755,498.9273,2026-06-01 04:00:00,46.3
2026-06-01 03:40:00,EDT,NORTH,61755,493.7131,2026-06-01 04:00:00,46.3
2026-06-01 03:45:00,EDT,NORTH,61755,489.4778,2026-06-01 04:00:00,46.3
2026-06-01 03:50:00,EDT,NORTH,61755,483.2457,2026-06-01 04:00:00,46.3
2026-06-01 03:55:00,EDT,NORTH,61755,488.8143,2026-06-01 04:00:00,46.3
2026-06-01 04:00:00,EDT,NORTH,61755,496.8919,2026-06-01 04:00:00,46.3
2026-06-01 04:05:00,EDT,NORTH,61755,494.3379,2026-06-01 04:00:00,46.3
2026-06-01 04:10:00,EDT,NORTH,61755,512.4981,2026-06-01 04:00:00,46.3
2026-06-01 04:15:00,EDT,NORTH,61755,512.9586,2026-06-01 04:00:00,46.3
2026-06-01 04:20:00,EDT,NORTH,61755,526.9462,2026-06-01 04:00:00,46.3
2026-06-01 04:25:00,EDT,NORTH,61755,513.2979,2026-06-01 04:00:00,46.3
2026-06-01 04:30:00,EDT,NORTH,61755,511.0288,2026-06-01 04:00:00,46.3
2026-06-01 04:35:00,EDT,NORTH,61755,490.0966,2026-06-01 05:00:00,45.9
2026-06-01 04:40:00,EDT,NORTH,61755,490.9592,2026-06-01 05:00:00,45.9
2026-06-01 04:45:00,EDT,NORTH,61755,503.6675,2026-06-01 05:00:00,45.9
2026-06-01 04:50:00,EDT,NORTH,61755,526.3215,2026-06-01 05:00:00,45.9
2026-06-01 04:55:00,EDT,NORTH,61755,497.4673,2026-06-01 05:00:00,45.9
2026-06-01 05:00:00,EDT,NORTH,61755,505.6445,2026-06-01 05:00:00,45.9
2026-06-01 05:05:00,EDT,NORTH,61755,510.6314,2026-06-01 05:00:00,45.9
2026-06-01 05:10:00,EDT,NORTH,61755,519.6947,2026-06-01 05:00:00,45.9
2026-06-01 05:15:00,EDT,NORTH,61755,505.2049,2026-06-01 05:00:00,45.9
2026-06-01 05:20:00,EDT,NORTH,61755,495.4053,2026-06-01 05:00:00,45.9
2026-06-01 05:25:00,EDT,NORTH,61755,506.1086,2026-06-01 05:00:00,45.9
2026-06-01 05:30:00,EDT,NORTH,61755,504.9356,2026-06-01 05:00:00,45.9
2026-06-01 05:35:00,EDT,NORTH,61755,507.5223,2026-06-01 06:00:00,46.4
2026-06-01 05:40:00,EDT,NORTH,61755,517.2578,2026-06-01 06:00:00,46.4
2026-06-01 05:45:00,EDT,NORTH,61755,508.545,2026-06-01 06:00:00,46.4
2026-06-01 05:50:00,EDT,NORTH,61755,509.0037,2026-06-01 06:00:00,46.4
2026-06-01 05:55:00,EDT,NORTH,61755,520.5149,2026-06-01 06:00:00,46.4
2026-06-01 06:00:00,EDT,NORTH,61755,517.2235,2026-06-01 06:00:00,46.4
2026-06-01 06:05:00,EDT,NORTH,61755,554.9753,2026-06-01 06:00:00,46.4
2026-06-01 06:10:00,EDT,NORTH,61755,580.2272,2026-06-01 06:00:00,46.4
2026-06-01 06:15:00,EDT,NORTH,61755,541.1711,2026-06-01 06:00:00,46.4
2026-06-01 06:20:00,EDT,NORTH,61755,541.9157,2026-06-01 06:00:00,46.4
2026-06-01 06:25:00,EDT,NORTH,61755,532.1981,2026-06-01 06:00:00,46.4
2026-06-01 06:30:00,EDT,NORTH,61755,547.7456,2026-06-01 06:00:00,46.4
2026-06-01 06:35:00,EDT,NORTH,61755,541.1992,2026-06-01 07:00:00,49.2
2026-06-01 06:40:00,EDT,NORTH,61755,546.1046,2026-06-01 07:00:00,49.2
2026-06-01 06:41:06,EDT,NORTH,61755,534.907,2026-06-01 07:00:00,49.2
2026-06-01 06:42:36,EDT,NORTH,61755,531.8041,2026-06-01 07:00:00,49.2
2026-06-01 06:45:00,EDT,NORTH,61755,507.7947,2026-06-01 07:00:00,49.2
2026-06-01 06:50:00,EDT,NORTH,61755,533.6283,2026-06-01 07:00:00,49.2
2026-06-01 06:55:00,EDT,NORTH,61755,549.4434,2026-06-01 07:00:00,49.2
2026-06-01 07:00:00,EDT,NORTH,61755,540.5318,2026-06-01 07:00:00,49.2
2026-06-01 07:05:00,EDT,NORTH,61755,533.7755,2026-06-01 07:00:00,49.2
2026-06-01 07:10:00,EDT,NORTH,61755,511.2469,2026-06-01 07:00:00,49.2
2026-06-01 07:15:00,EDT,NORTH,61755,522.1249,2026-06-01 07:00:00,49.2
2026-06-01 07:20:00,EDT,NORTH,61755,528.2477,2026-06-01 07:00:00,49.2
2026-06-01 07:25:00,EDT,NORTH,61755,510.1874,2026-06-01 07:00:00,49.2
2026-06-01 07:30:00,EDT,NORTH,61755,518.002,2026-06-01 07:00:00,49.2
2026-06-01 07:35:00,EDT,NORTH,61755,506.2656,2026-06-01 08:00:00,53.3
