Time,Interval Start,Interval End,Load,Location,Estimated_Temperature_F
2026-06-01 00:00:00,2026-06-01 00:00:00-04:00,2026-06-01 00:05:00-04:00,9889.98,ISO-NE System Total,63.53951466820479
2026-06-01 00:05:00,2026-06-01 00:05:00-04:00,2026-06-01 00:10:00-04:00,9898.331,ISO-NE System Total,63.54512756296401
2026-06-01 00:10:00,2026-06-01 00:10:00-04:00,2026-06-01 00:15:00-04:00,9831.458,ISO-NE System Total,63.50018071692952
2026-06-01 00:15:00,2026-06-01 00:15:00-04:00,2026-06-01 00:20:00-04:00,9762.09,ISO-NE System Total,63.45355692532871
2026-06-01 00:20:00,2026-06-01 00:20:00-04:00,2026-06-01 00:25:00-04:00,9732.867,ISO-NE System Total,63.43391549034499
2026-06-01 00:25:00,2026-06-01 00:25:00-04:00,2026-06-01 00:30:00-04:00,9671.455,ISO-NE System Total,63.392639105127174
2026-06-01 00:30:00,2026-06-01 00:30:00-04:00,2026-06-01 00:35:00-04:00,9641.558,ISO-NE System Total,63.37254465959769
2026-06-01 00:35:00,2026-06-01 00:35:00-04:00,2026-06-01 00:40:00-04:00,9591.132,ISO-NE System Total,63.33865221185144
2026-06-01 00:40:00,2026-06-01 00:40:00-04:00,2026-06-01 00:45:00-04:00,9536.683,ISO-NE System Total,63.302055815402454
2026-06-01 00:45:00,2026-06-01 00:45:00-04:00,2026-06-01 00:50:00-04:00,9514.621,ISO-NE System Total,63.28722744943693
2026-06-01 00:50:00,2026-06-01 00:50:00-04:00,2026-06-01 00:55:00-04:00,9466.032,ISO-NE System Total,63.25456969067075
2026-06-01 00:55:00,2026-06-01 00:55:00-04:00,2026-06-01 01:00:00-04:00,9448.441,ISO-NE System Total,63.24274638427515
2026-06-01 01:00:00,2026-06-01 01:00:00-04:00,2026-06-01 01:05:00-04:00,9439.502,ISO-NE System Total,63.50933167119015
2026-06-01 01:05:00,2026-06-01 01:05:00-04:00,2026-06-01 01:10:00-04:00,9397.447,ISO-NE System Total,63.48106556065256
2026-06-01 01:10:00,2026-06-01 01:10:00-04:00,2026-06-01 01:15:00-04:00,9375.72,ISO-NE System Total,63.46646235571496
2026-06-01 01:15:00,2026-06-01 01:15:00-04:00,2026-06-01 01:20:00-04:00,9335.169,ISO-NE System Total,63.43920711737446
2026-06-01 01:20:00,2026-06-01 01:20:00-04:00,2026-06-01 01:25:00-04:00,9261.792,ISO-NE System Total,63.38988878678553
2026-06-01 01:25:00,2026-06-01 01:25:00-04:00,2026-06-01 01:30:00-04:00,9250.858,ISO-NE System Total,63.3825397996825
2026-06-01 01:30:00,2026-06-01 01:30:00-04:00,2026-06-01 01:35:00-04:00,9243.675,ISO-NE System Total,63.377711943969935
2026-06-01 01:35:00,2026-06-01 01:35:00-04:00,2026-06-01 01:40:00-04:00,9227.472,ISO-NE System Total,63.36682154356473
2026-06-01 01:40:00,2026-06-01 01:40:00-04:00,2026-06-01 01:45:00-04:00,9210.249,ISO-NE System Total,63.355245578238645
