Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.FRNKLNSQ13.810CC,NETWORK NODE,70.53,71.48,0.0,-0.95
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.FRNKLNSQ13.811CC,NETWORK NODE,70.53,71.48,0.0,-0.95
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.FRNKLNSQ13.89CC,NETWORK NODE,70.53,71.48,0.0,-0.95
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.ALTRESCO13.8ALTR,NETWORK NODE,70.52,71.48,0.0,-0.96
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.EDDY    34.5AMOS,NETWORK NODE,71.75,71.48,0.0,0.27
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.GULFISLD34.5GULF,NETWORK NODE,66.79,71.48,0.0,-4.69
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.ASCUTNEY46  ASCU,NETWORK NODE,72.65,71.48,0.0,1.17
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.PEMIGWAS34.5AYER,NETWORK NODE,72.49,71.48,0.0,1.01
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.ROXBURY 34.5AZIS,NETWORK NODE,63.92,71.48,0.0,-7.56
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.BELLWSFL6.9 BELL,NETWORK NODE,71.87,71.48,0.0,0.39
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.BERLINVT34.5BERL,NETWORK NODE,73.37,71.48,0.0,1.89
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.9DRAGONS115 BOIS,NETWORK NODE,63.92,71.48,0.0,-7.56
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.MIDDLESX34.5BOLT,NETWORK NODE,73.52,71.48,0.0,2.04
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.PERRY_ST13.8BOOT,NETWORK NODE,71.75,71.48,0.0,0.27
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.BPT_RESC13.8BPTR,NETWORK NODE,71.28,71.48,0.0,-0.2
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.BRANFORD23  BRAN,NETWORK NODE,72.08,71.48,0.0,0.6
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.FORESTVL13.8BRF,NETWORK NODE,71.21,71.48,0.0,-0.27
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.ASHLAND 34.5BRID,NETWORK NODE,72.37,71.48,0.0,0.89
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.TOPSHAM 34.5BRUN,NETWORK NODE,67.55,71.48,0.0,-3.93
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.BEARSWMP13.8BSW1,NETWORK NODE,68.46,71.48,0.0,-3.02
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.BEARSWMP13.8BSW2,NETWORK NODE,68.46,71.48,0.0,-3.02
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.BULLSBDG27.6BULL,NETWORK NODE,71.2,71.48,0.0,-0.28
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.QUEENCTY13.8BURL,NETWORK NODE,73.29,71.48,0.0,1.81
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.CANAL   18.0CAN1,NETWORK NODE,72.31,71.48,0.0,0.83
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.CANAL   18.0CAN2,NETWORK NODE,72.31,71.48,0.0,0.83
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.CAPE    13.2CAP4,NETWORK NODE,68.47,71.48,0.0,-3.01
2026-07-08 16:25:00-04:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,UN.CAPE    13.2CAP5,NETWORK NODE,68.47,71.48,0.0,-3.01
