Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,CAPITL,Zone,37.54,37.09,-0.0,0.45
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,CENTRL,Zone,37.5,37.09,-0.0,0.41
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,DUNWOD,Zone,39.54,37.09,-0.0,2.45
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,GENESE,Zone,38.13,37.09,-0.0,1.04
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,H Q,Zone,36.9,37.08,-0.0,-0.18
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,HUD VL,Zone,39.09,37.09,-0.0,2.0
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,LONGIL,Zone,39.57,37.08,-0.0,2.49
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,MHK VL,Zone,37.98,37.09,-0.0,0.89
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,MILLWD,Zone,39.28,37.09,-0.0,2.19
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,N.Y.C.,Zone,39.76,37.09,-0.0,2.67
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,NORTH,Zone,36.94,37.09,-0.0,-0.15
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,NPX,Zone,37.94,37.09,-0.0,0.85
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,O H,Zone,37.65,37.09,-0.0,0.56
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,PJM,Zone,38.24,37.09,-0.0,1.15
2026-07-08 11:05:00-04:00,2026-07-08 11:05:00-04:00,2026-07-08 11:10:00-04:00,REAL_TIME_5_MIN,WEST,Zone,38.5,37.09,-0.0,1.41
