Time,Interval Start,Interval End,Market,Location,Location Type,LMP,Energy,Congestion,Loss
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,CAPITL,Zone,53.03,52.2,-0.0,0.83
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,CENTRL,Zone,53.29,52.19,-0.0,1.1
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,DUNWOD,Zone,56.22,52.2,-0.0,4.02
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,GENESE,Zone,62.35,52.2,8.01,2.14
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,H Q,Zone,51.78,52.2,-0.0,-0.42
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,HUD VL,Zone,55.54,52.2,-0.0,3.34
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,LONGIL,Zone,56.69,52.2,-0.0,4.49
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,MHK VL,Zone,54.07,52.19,-0.0,1.88
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,MILLWD,Zone,55.8,52.2,-0.0,3.6
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,N.Y.C.,Zone,56.37,52.19,-0.0,4.18
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,NORTH,Zone,51.36,52.2,-0.0,-0.84
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,NPX,Zone,34.79,52.19,-17.92,0.52
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,O H,Zone,57.4,52.19,4.63,0.58
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,PJM,Zone,36.1,52.19,-17.92,1.83
2026-07-08 20:25:00+00:00,2026-07-08 16:25:00-04:00,2026-07-08 16:30:00-04:00,REAL_TIME_5_MIN,WEST,Zone,59.55,52.2,5.63,1.72
